tipo_metrica,detector,umbral,escenario,delta_sigma,arl0,arl0_ic_low,arl0_ic_high,arl0_censurados,arl0_n_streams,arl1,arl1_ic_low,arl1_ic_high,arl1_censurados,arl1_n_streams,arl1_excluidos_pre_tau
auc,Page-Hinkley,3.375,salto,1.0,28.33,24.902551622459715,31.757448377540282,7,200,6.571428571428571,4.410439691036895,8.732417451820247,0,35,165
auc,Page-Hinkley,3.375,salto,1.5,28.33,24.902551622459715,31.757448377540282,7,200,3.8727272727272726,3.16056116367621,4.584893381778335,0,55,145
auc,Page-Hinkley,3.375,salto,2.0,28.33,24.902551622459715,31.757448377540282,7,200,2.411764705882353,2.059535358348492,2.7639940534162135,0,51,149
auc,Page-Hinkley,3.375,salto,3.0,28.33,24.902551622459715,31.757448377540282,7,200,2.024390243902439,1.7381591603448927,2.3106213274599856,0,41,159
auc,Page-Hinkley,5.75,cambio_varianza,0.5,50.06,45.50497657931213,54.615023420687876,33,200,22.099009900990097,18.53448882536457,25.663530976615625,7,101,99
auc,Page-Hinkley,5.75,cambio_varianza,1.0,50.06,45.50497657931213,54.615023420687876,33,200,21.594059405940595,17.980189714481266,25.207929097399923,11,101,99
auc,Page-Hinkley,5.75,cambio_varianza,1.5,50.06,45.50497657931213,54.615023420687876,33,200,20.649484536082475,17.50052970973325,23.7984393624317,4,97,103
auc,Page-Hinkley,5.75,cambio_varianza,2.0,50.06,45.50497657931213,54.615023420687876,33,200,22.905263157894737,19.167953388190252,26.642572927599222,9,95,105
auc,Page-Hinkley,5.75,cambio_varianza,3.0,50.06,45.50497657931213,54.615023420687876,33,200,22.36,18.81964569392762,25.90035430607238,7,100,100
auc,Page-Hinkley,5.75,deriva,0.5,50.06,45.50497657931213,54.615023420687876,33,200,25.304761904761904,22.218341866987938,28.39118194253587,4,105,95
auc,Page-Hinkley,5.75,deriva,1.0,50.06,45.50497657931213,54.615023420687876,33,200,17.848214285714285,16.207793570204426,19.488635001224143,0,112,88
auc,Page-Hinkley,5.75,deriva,1.5,50.06,45.50497657931213,54.615023420687876,33,200,12.883495145631068,11.59354835296498,14.173441938297156,0,103,97
auc,Page-Hinkley,5.75,deriva,2.0,50.06,45.50497657931213,54.615023420687876,33,200,12.614035087719298,11.766096090431459,13.461974085007137,0,114,86
auc,Page-Hinkley,5.75,deriva,3.0,50.06,45.50497657931213,54.615023420687876,33,200,9.892857142857142,9.181255092918079,10.604459192796206,0,112,88
auc,Page-Hinkley,5.75,salto,0.5,50.06,45.50497657931213,54.615023420687876,33,200,17.49019607843137,14.887097765878416,20.093294390984326,2,102,98
auc,Page-Hinkley,5.75,salto,1.0,50.06,45.50497657931213,54.615023420687876,33,200,8.515463917525773,7.117645258732869,9.913282576318677,0,97,103
auc,Page-Hinkley,5.75,salto,1.5,50.06,45.50497657931213,54.615023420687876,33,200,5.654545454545454,4.95924456629977,6.349846342791139,0,110,90
auc,Page-Hinkley,5.75,salto,2.0,50.06,45.50497657931213,54.615023420687876,33,200,3.9545454545454546,3.46934299479623,4.43974791429468,0,110,90
auc,Page-Hinkley,5.75,salto,3.0,50.06,45.50497657931213,54.615023420687876,33,200,2.650485436893204,2.4136346731396907,2.8873362006467174,0,103,97
auc,Page-Hinkley,8.125,cambio_varianza,0.5,70.695,66.16461221048164,75.22538778951835,84,200,31.028985507246375,27.418651249051937,34.63931976544082,34,138,62
auc,Page-Hinkley,8.125,cambio_varianza,1.0,70.695,66.16461221048164,75.22538778951835,84,200,30.992805755395683,27.480527757489828,34.505083753301534,33,139,61
auc,Page-Hinkley,8.125,cambio_varianza,1.5,70.695,66.16461221048164,75.22538778951835,84,200,31.33974358974359,28.244789981023317,34.434697198463866,29,156,44
auc,Page-Hinkley,8.125,cambio_varianza,2.0,70.695,66.16461221048164,75.22538778951835,84,200,29.136986301369863,25.7523043005053,32.521668302234424,28,146,54
auc,Page-Hinkley,8.125,cambio_varianza,3.0,70.695,66.16461221048164,75.22538778951835,84,200,30.91216216216216,27.72509988849908,34.09922443582524,28,148,52
auc,Page-Hinkley,8.125,deriva,0.5,70.695,66.16461221048164,75.22538778951835,84,200,33.26896551724138,30.24607340357342,36.291857630909334,24,145,55
auc,Page-Hinkley,8.125,deriva,1.0,70.695,66.16461221048164,75.22538778951835,84,200,22.376712328767123,20.69450965970052,24.058914997833728,0,146,54
auc,Page-Hinkley,8.125,deriva,1.5,70.695,66.16461221048164,75.22538778951835,84,200,16.643835616438356,15.468894677551168,17.818776555325545,0,146,54
auc,Page-Hinkley,8.125,deriva,2.0,70.695,66.16461221048164,75.22538778951835,84,200,14.89261744966443,14.078748959970937,15.706485939357922,0,149,51
auc,Page-Hinkley,8.125,deriva,3.0,70.695,66.16461221048164,75.22538778951835,84,200,11.627586206896552,10.954297312148745,12.30087510164436,0,145,55
auc,Page-Hinkley,8.125,salto,0.5,70.695,66.16461221048164,75.22538778951835,84,200,23.78723404255319,21.19009992772936,26.384368157377022,6,141,59
auc,Page-Hinkley,8.125,salto,1.0,70.695,66.16461221048164,75.22538778951835,84,200,12.442857142857143,10.911922938010852,13.973791347703434,0,140,60
auc,Page-Hinkley,8.125,salto,1.5,70.695,66.16461221048164,75.22538778951835,84,200,7.48936170212766,6.740551477385478,8.23817192686984,0,141,59
auc,Page-Hinkley,8.125,salto,2.0,70.695,66.16461221048164,75.22538778951835,84,200,5.263513513513513,4.725591500090603,5.801435526936423,0,148,52
auc,Page-Hinkley,8.125,salto,3.0,70.695,66.16461221048164,75.22538778951835,84,200,3.436241610738255,3.199898015186434,3.672585206290076,0,149,51
auc,Page-Hinkley,15.25,cambio_varianza,0.5,94.075,91.86209101273242,96.28790898726758,167,200,48.4559585492228,45.951059847555335,50.960857250890264,123,193,7
auc,Page-Hinkley,15.25,cambio_varianza,1.0,94.075,91.86209101273242,96.28790898726758,167,200,48.72631578947368,46.19238046128143,51.26025111766593,121,190,10
auc,Page-Hinkley,15.25,cambio_varianza,1.5,94.075,91.86209101273242,96.28790898726758,167,200,51.38578680203046,49.19072759237185,53.58084601168907,132,197,3
auc,Page-Hinkley,15.25,cambio_varianza,2.0,94.075,91.86209101273242,96.28790898726758,167,200,48.625,45.99722915291652,51.25277084708348,129,192,8
auc,Page-Hinkley,15.25,cambio_varianza,3.0,94.075,91.86209101273242,96.28790898726758,167,200,49.911458333333336,47.46810555113591,52.35481111553076,126,192,8
auc,Page-Hinkley,15.25,deriva,0.5,94.075,91.86209101273242,96.28790898726758,167,200,45.712041884816756,43.41009286992212,48.013990899711395,88,191,9
auc,Page-Hinkley,15.25,deriva,1.0,94.075,91.86209101273242,96.28790898726758,167,200,33.284974093264246,31.48801914220985,35.08192904431864,8,193,7
auc,Page-Hinkley,15.25,deriva,1.5,94.075,91.86209101273242,96.28790898726758,167,200,24.3125,23.175110892772796,25.449889107227204,0,192,8
auc,Page-Hinkley,15.25,deriva,2.0,94.075,91.86209101273242,96.28790898726758,167,200,19.76923076923077,18.95737134181448,20.58109019664706,0,195,5
auc,Page-Hinkley,15.25,deriva,3.0,94.075,91.86209101273242,96.28790898726758,167,200,15.647368421052631,15.049850703665467,16.244886138439796,0,190,10
auc,Page-Hinkley,15.25,salto,0.5,94.075,91.86209101273242,96.28790898726758,167,200,38.825641025641026,36.21797276013985,41.4333092911422,54,195,5
auc,Page-Hinkley,15.25,salto,1.0,94.075,91.86209101273242,96.28790898726758,167,200,20.375661375661377,18.760054034047908,21.991268717274846,1,189,11
auc,Page-Hinkley,15.25,salto,1.5,94.075,91.86209101273242,96.28790898726758,167,200,12.875647668393782,11.88444468857383,13.866850648213735,0,193,7
auc,Page-Hinkley,15.25,salto,2.0,94.075,91.86209101273242,96.28790898726758,167,200,9.196891191709845,8.594308020293903,9.799474363125787,0,193,7
auc,Page-Hinkley,15.25,salto,3.0,94.075,91.86209101273242,96.28790898726758,167,200,6.035897435897436,5.723546502912934,6.348248368881937,0,195,5
auc,3-sigma,,cambio_varianza,0.5,95.395,93.01408562140698,97.77591437859301,184,200,19.221052631578946,16.73556266865377,21.70654259450412,17,190,10
auc,3-sigma,,cambio_varianza,1.0,95.395,93.01408562140698,97.77591437859301,184,200,17.57591623036649,15.241284754417084,19.9105477063159,13,191,9
auc,3-sigma,,cambio_varianza,1.5,95.395,93.01408562140698,97.77591437859301,184,200,18.052910052910054,15.84195370313277,20.263866402687338,6,189,11
auc,3-sigma,,cambio_varianza,2.0,95.395,93.01408562140698,97.77591437859301,184,200,16.09375,14.078767849276177,18.108732150723824,6,192,8
auc,3-sigma,,cambio_varianza,3.0,95.395,93.01408562140698,97.77591437859301,184,200,20.10994764397906,17.522399979990478,22.69749530796764,13,191,9
auc,3-sigma,,deriva,0.5,95.395,93.01408562140698,97.77591437859301,184,200,53.890625,51.90274494531129,55.87850505468871,150,192,8
auc,3-sigma,,deriva,1.0,95.395,93.01408562140698,97.77591437859301,184,200,50.736040609137056,48.634068882389805,52.83801233588431,117,197,3
auc,3-sigma,,deriva,1.5,95.395,93.01408562140698,97.77591437859301,184,200,36.257894736842104,33.75944768306708,38.75634179061713,40,190,10
