mes_objetivo,fecha_prediccion,probabilidad_sube,posicion,objetivo,fin_entrenamiento,n_entrenamiento,acierto,config_hash,commit,hash_datos,generado_en
1981-06-30,1981-05-31,0.46389160120061035,-1,1.0,1980-11-30,198,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1981-07-31,1981-06-30,0.7303250154964601,1,0.0,1980-11-30,198,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1981-08-31,1981-07-31,0.5254522900028727,1,1.0,1980-11-30,198,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1981-09-30,1981-08-31,0.7703302339337789,1,1.0,1980-11-30,198,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1981-10-31,1981-09-30,0.8324722863051307,1,0.0,1980-11-30,198,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1981-11-30,1981-10-31,0.47273989531584604,-1,1.0,1980-11-30,198,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1981-12-31,1981-11-30,0.8221471975615355,1,1.0,1980-11-30,198,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1982-01-31,1981-12-31,0.7918079588529933,1,1.0,1981-11-30,210,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1982-02-28,1982-01-31,0.8175987406712701,1,1.0,1981-11-30,210,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1982-03-31,1982-02-28,0.8789765729099679,1,1.0,1981-11-30,210,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1982-04-30,1982-03-31,0.8606420684481836,1,0.0,1981-11-30,210,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1982-05-31,1982-04-30,0.7012988192851032,1,1.0,1981-11-30,210,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1982-06-30,1982-05-31,0.8496168821281183,1,1.0,1981-11-30,210,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1982-07-31,1982-06-30,0.7961139234111331,1,1.0,1981-11-30,210,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1982-08-31,1982-07-31,0.7081775410473359,1,1.0,1981-11-30,210,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1982-09-30,1982-08-31,0.6975854768067098,1,1.0,1981-11-30,210,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1982-10-31,1982-09-30,0.6332754907453989,1,0.0,1981-11-30,210,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1982-11-30,1982-10-31,0.49680246298085257,-1,0.0,1981-11-30,210,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1982-12-31,1982-11-30,0.5481891936247025,1,0.0,1981-11-30,210,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1983-01-31,1982-12-31,0.5665525676608124,1,0.0,1982-11-30,222,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1983-02-28,1983-01-31,0.5120443812698066,1,1.0,1982-11-30,222,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1983-03-31,1983-02-28,0.5377379005307082,1,1.0,1982-11-30,222,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1983-04-30,1983-03-31,0.530547493352489,1,1.0,1982-11-30,222,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1983-05-31,1983-04-30,0.46569058429903326,-1,0.0,1982-11-30,222,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1983-06-30,1983-05-31,0.36236066757621127,-1,0.0,1982-11-30,222,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1983-07-31,1983-06-30,0.2920098071451472,-1,1.0,1982-11-30,222,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1983-08-31,1983-07-31,0.667329356240061,1,1.0,1982-11-30,222,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1983-09-30,1983-08-31,0.6850404007366461,1,1.0,1982-11-30,222,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1983-10-31,1983-09-30,0.45656411551575327,-1,1.0,1982-11-30,222,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1983-11-30,1983-10-31,0.7209572097736311,1,0.0,1982-11-30,222,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1983-12-31,1983-11-30,0.5687476773012311,1,1.0,1982-11-30,222,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1984-01-31,1983-12-31,0.7087684195353501,1,1.0,1983-11-30,234,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1984-02-29,1984-01-31,0.872550874884505,1,1.0,1983-11-30,234,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1984-03-31,1984-02-29,0.7501879845705886,1,1.0,1983-11-30,234,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1984-04-30,1984-03-31,0.6514766690357201,1,1.0,1983-11-30,234,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1984-05-31,1984-04-30,0.7082707219661123,1,1.0,1983-11-30,234,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1984-06-30,1984-05-31,0.7038417675635251,1,0.0,1983-11-30,234,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1984-07-31,1984-06-30,0.6350765098976069,1,1.0,1983-11-30,234,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1984-08-31,1984-07-31,0.7598961356007888,1,0.0,1983-11-30,234,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1984-09-30,1984-08-31,0.7004516238179535,1,1.0,1983-11-30,234,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1984-10-31,1984-09-30,0.8565801003407082,1,1.0,1983-11-30,234,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1984-11-30,1984-10-31,0.7014759283426995,1,1.0,1983-11-30,234,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1984-12-31,1984-11-30,0.7523633715514324,1,0.0,1983-11-30,234,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1985-01-31,1984-12-31,0.6460736299154576,1,0.0,1984-11-30,246,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1985-02-28,1985-01-31,0.4850919032794386,-1,0.0,1984-11-30,246,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1985-03-31,1985-02-28,0.6638871626554779,1,1.0,1984-11-30,246,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1985-04-30,1985-03-31,0.7796021938773645,1,1.0,1984-11-30,246,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1985-05-31,1985-04-30,0.7229222420524596,1,0.0,1984-11-30,246,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1985-06-30,1985-05-31,0.5621343265672037,1,1.0,1984-11-30,246,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1985-07-31,1985-06-30,0.6413264610766143,1,0.0,1984-11-30,246,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1985-08-31,1985-07-31,0.6186023377511243,1,1.0,1984-11-30,246,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1985-09-30,1985-08-31,0.7385053242944555,1,1.0,1984-11-30,246,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1985-10-31,1985-09-30,0.6688868085950463,1,1.0,1984-11-30,246,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1985-11-30,1985-10-31,0.6088302826736934,1,0.0,1984-11-30,246,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1985-12-31,1985-11-30,0.4938071658405488,-1,0.0,1984-11-30,246,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1986-01-31,1985-12-31,0.5600001054256205,1,1.0,1985-11-30,258,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1986-02-28,1986-01-31,0.6148741882507346,1,0.0,1985-11-30,258,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1986-03-31,1986-02-28,0.5476176494327427,1,0.0,1985-11-30,258,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1986-04-30,1986-03-31,0.5068359159096654,1,0.0,1985-11-30,258,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1986-05-31,1986-04-30,0.4404102204209603,-1,0.0,1985-11-30,258,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1986-06-30,1986-05-31,0.543188128755193,1,1.0,1985-11-30,258,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1986-07-31,1986-06-30,0.5822284260800866,1,1.0,1985-11-30,258,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1986-08-31,1986-07-31,0.7367929913598666,1,1.0,1985-11-30,258,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1986-09-30,1986-08-31,0.6620095253404471,1,1.0,1985-11-30,258,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1986-10-31,1986-09-30,0.6180099649736434,1,0.0,1985-11-30,258,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1986-11-30,1986-10-31,0.4215691965263587,-1,0.0,1985-11-30,258,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1986-12-31,1986-11-30,0.49776912338584756,-1,1.0,1985-11-30,258,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1987-01-31,1986-12-31,0.5828368360185149,1,0.0,1986-11-30,270,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1987-02-28,1987-01-31,0.442507748916116,-1,0.0,1986-11-30,270,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1987-03-31,1987-02-28,0.4391836815630533,-1,1.0,1986-11-30,270,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1987-04-30,1987-03-31,0.7370047882306974,1,0.0,1986-11-30,270,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1987-05-31,1987-04-30,0.5903700461177638,1,1.0,1986-11-30,270,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1987-06-30,1987-05-31,0.4989879354453955,-1,1.0,1986-11-30,270,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1987-07-31,1987-06-30,0.5402989803814944,1,1.0,1986-11-30,270,True,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1987-08-31,1987-07-31,0.5504488147676103,1,0.0,1986-11-30,270,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
1987-09-30,1987-08-31,0.48759788215921707,-1,1.0,1986-11-30,270,False,c1c7ebb7a0ce,f40c3d3,bdce90482268,2026-09-22T11:25:40+00:00
