stream_id,detector,escenario,delta_sigma,delta_sharpe,arl1_meses,arl1_ic_low,arl1_ic_high,n_streams,n_censurados,n_excluidos_pre_tau,n_series,direccion,umbral,arl0_calibra,arl0_ruido_inyeccion,config_hash,commit,hash_datos,generado_en
factor_hml_sharpe,Page-Hinkley,salto,0.25,1.4280878758279114,27.55628272251309,25.688701771727892,29.423863673298285,764,0,236,1000,B->A,5.158203125,118.628,72.218,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,Shewhart,salto,0.25,1.4280878758279114,119.75660160734787,114.63659282638926,124.87661038830649,871,233,129,1000,B->A,2.334874306524429,78.106,162.049,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,CUSUM,salto,0.5,2.856175751655823,17.841666666666665,16.599655752480892,19.083677580852438,720,0,280,1000,B->A,3.21542703313753,128.129,67.275,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,Page-Hinkley,salto,0.5,2.856175751655823,14.782722513089006,13.896168242581023,15.669276783596988,764,0,236,1000,B->A,5.158203125,118.628,72.218,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,Shewhart,salto,0.5,2.856175751655823,43.704936854190585,40.88744179811575,46.52243191026542,871,7,129,1000,B->A,2.334874306524429,78.106,162.049,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,CUSUM,salto,1.0,5.712351503311646,6.65,6.296475407123485,7.0035245928765155,720,0,280,1000,B->A,3.21542703313753,128.129,67.275,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,Page-Hinkley,salto,1.0,5.712351503311646,6.532722513089006,6.252515347563736,6.8129296786142755,764,0,236,1000,B->A,5.158203125,118.628,72.218,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,Shewhart,salto,1.0,5.712351503311646,17.827784156142364,16.653179628311264,19.002388683973464,871,0,129,1000,B->A,2.334874306524429,78.106,162.049,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,CUSUM,salto,2.0,11.424703006623291,2.638888888888889,2.5470692074738666,2.730708570303911,720,0,280,1000,B->A,3.21542703313753,128.129,67.275,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,Page-Hinkley,salto,2.0,11.424703006623291,3.1099476439790577,3.0101671857567176,3.2097281022013977,764,0,236,1000,B->A,5.158203125,118.628,72.218,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,Shewhart,salto,2.0,11.424703006623291,3.5361653272101035,3.322625663049991,3.749704991370216,871,0,129,1000,B->A,2.334874306524429,78.106,162.049,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,CUSUM,deriva,0.15,0.8568527254967468,38.981944444444444,36.45396788394388,41.50992100494501,720,1,280,1000,B->A,3.21542703313753,128.129,67.275,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,Page-Hinkley,deriva,0.15,0.8568527254967468,40.97643979057592,38.440650326570776,43.51222925458106,764,0,236,1000,B->A,5.158203125,118.628,72.218,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,Shewhart,deriva,0.15,0.8568527254967468,119.75660160734787,114.63659282638926,124.87661038830649,871,233,129,1000,B->A,2.334874306524429,78.106,162.049,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,CUSUM,deriva,0.25,1.4280878758279114,32.17777777777778,30.111380621923836,34.24417493363172,720,0,280,1000,B->A,3.21542703313753,128.129,67.275,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,Page-Hinkley,deriva,0.25,1.4280878758279114,32.79842931937173,30.853911789319728,34.742946849423724,764,0,236,1000,B->A,5.158203125,118.628,72.218,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,Shewhart,deriva,0.25,1.4280878758279114,119.75660160734787,114.63659282638926,124.87661038830649,871,233,129,1000,B->A,2.334874306524429,78.106,162.049,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,CUSUM,deriva,0.5,2.856175751655823,23.520833333333332,22.210707829657853,24.83095883700881,720,0,280,1000,B->A,3.21542703313753,128.129,67.275,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,Page-Hinkley,deriva,0.5,2.856175751655823,21.909685863874344,20.926028545850727,22.89334318189796,764,0,236,1000,B->A,5.158203125,118.628,72.218,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,Shewhart,deriva,0.5,2.856175751655823,54.85763490241102,52.02334528391975,57.69192452090229,871,8,129,1000,B->A,2.334874306524429,78.106,162.049,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,CUSUM,deriva,1.0,5.712351503311646,15.275,14.704315540124837,15.845684459875164,720,0,280,1000,B->A,3.21542703313753,128.129,67.275,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,Page-Hinkley,deriva,1.0,5.712351503311646,14.802356020942408,14.321808507791765,15.282903534093052,764,0,236,1000,B->A,5.158203125,118.628,72.218,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,Shewhart,deriva,1.0,5.712351503311646,28.242250287026405,27.053791654913116,29.430708919139693,871,0,129,1000,B->A,2.334874306524429,78.106,162.049,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,CUSUM,deriva,2.0,11.424703006623291,10.759722222222223,10.440228378501272,11.079216065943173,720,0,280,1000,B->A,3.21542703313753,128.129,67.275,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,Page-Hinkley,deriva,2.0,11.424703006623291,10.688481675392671,10.399844285935567,10.977119064849775,764,0,236,1000,B->A,5.158203125,118.628,72.218,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
factor_hml_sharpe,Shewhart,deriva,2.0,11.424703006623291,14.530424799081516,14.1747824670057,14.886067131157331,871,0,129,1000,B->A,2.334874306524429,78.106,162.049,11e279799266,0049bff,c9640633e3b2,2026-09-26T19:56:13+00:00
